Entity,Code,Year,Unemployment rate - Percent of total labor force - Observations
Iceland,ISL,1991,2.925
Iceland,ISL,1992,4.665
Iceland,ISL,1993,5.764
Iceland,ISL,1994,5.776
Iceland,ISL,1995,5.25
Iceland,ISL,1996,4.153
Iceland,ISL,1997,4.204
Iceland,ISL,1998,3.314
Iceland,ISL,1999,2.489
Iceland,ISL,2000,2.633
Iceland,ISL,2001,2.791
Iceland,ISL,2002,3.515
Iceland,ISL,2003,3.525
Iceland,ISL,2004,3.417
Iceland,ISL,2005,2.883
Iceland,ISL,2006,3.2
Iceland,ISL,2007,2.492
Iceland,ISL,2008,3.325
Iceland,ISL,2009,8.008
Iceland,ISL,2010,8.317
Iceland,ISL,2011,7.95
Iceland,ISL,2012,6.85
Iceland,ISL,2013,6.092
Iceland,ISL,2014,5.508
Iceland,ISL,2015,4.592
Iceland,ISL,2016,3.442
Iceland,ISL,2017,3.3
Iceland,ISL,2018,3.133
Iceland,ISL,2019,3.9
Iceland,ISL,2020,6.267
Iceland,ISL,2021,5.842
Iceland,ISL,2022,3.592
Iceland,ISL,2023,3.375
Iceland,ISL,2024,3.367
