Entity,Code,Year,Unemployment rate - Percent of total labor force - Observations
Hong Kong,HKG,1991,1.797
Hong Kong,HKG,1992,1.959
Hong Kong,HKG,1993,1.971
Hong Kong,HKG,1994,1.919
Hong Kong,HKG,1995,3.186
Hong Kong,HKG,1996,2.765
Hong Kong,HKG,1997,2.233
Hong Kong,HKG,1998,4.383
Hong Kong,HKG,1999,6.25
Hong Kong,HKG,2000,5.108
Hong Kong,HKG,2001,4.925
Hong Kong,HKG,2002,7.233
Hong Kong,HKG,2003,7.933
Hong Kong,HKG,2004,6.875
Hong Kong,HKG,2005,5.7
Hong Kong,HKG,2006,4.833
Hong Kong,HKG,2007,4.117
Hong Kong,HKG,2008,3.425
Hong Kong,HKG,2009,5.217
Hong Kong,HKG,2010,4.417
Hong Kong,HKG,2011,3.467
Hong Kong,HKG,2012,3.3
Hong Kong,HKG,2013,3.4
Hong Kong,HKG,2014,3.242
Hong Kong,HKG,2015,3.3
Hong Kong,HKG,2016,3.383
Hong Kong,HKG,2017,3.15
Hong Kong,HKG,2018,2.808
Hong Kong,HKG,2019,2.908
Hong Kong,HKG,2020,5.525
Hong Kong,HKG,2021,5.408
Hong Kong,HKG,2022,4.35
Hong Kong,HKG,2023,2.975
