Entity,Code,Year,Unemployment rate - Percent of total labor force - Observations
Sweden,SWE,1991,4
Sweden,SWE,1992,7.1
Sweden,SWE,1993,11.15
Sweden,SWE,1994,10.783
Sweden,SWE,1995,10.417
Sweden,SWE,1996,10.883
Sweden,SWE,1997,10.875
Sweden,SWE,1998,8.817
Sweden,SWE,1999,7.55
Sweden,SWE,2000,6.342
Sweden,SWE,2001,5.967
Sweden,SWE,2002,6.083
Sweden,SWE,2003,6.692
Sweden,SWE,2004,7.517
Sweden,SWE,2005,7.908
Sweden,SWE,2006,7.167
Sweden,SWE,2007,6.242
Sweden,SWE,2008,6.275
Sweden,SWE,2009,8.417
Sweden,SWE,2010,8.7
Sweden,SWE,2011,7.875
Sweden,SWE,2012,8.067
Sweden,SWE,2013,8.108
Sweden,SWE,2014,8.042
Sweden,SWE,2015,7.517
Sweden,SWE,2016,7.058
Sweden,SWE,2017,6.783
Sweden,SWE,2018,6.433
Sweden,SWE,2019,6.908
Sweden,SWE,2020,8.483
Sweden,SWE,2021,8.892
Sweden,SWE,2022,7.483
Sweden,SWE,2023,7.667
Sweden,SWE,2024,8.35
