Entity,Code,Year,Unemployment rate - Percent of total labor force - Observations
Germany,DEU,1991,5.47
Germany,DEU,1992,6.592
Germany,DEU,1993,7.775
Germany,DEU,1994,8.425
Germany,DEU,1995,8.233
Germany,DEU,1996,8.908
Germany,DEU,1997,9.658
Germany,DEU,1998,9.383
Germany,DEU,1999,8.558
Germany,DEU,2000,7.95
Germany,DEU,2001,7.8
Germany,DEU,2002,8.6
Germany,DEU,2003,9.708
Germany,DEU,2004,10.333
Germany,DEU,2005,11.008
Germany,DEU,2006,10.042
Germany,DEU,2007,8.542
Germany,DEU,2008,7.425
Germany,DEU,2009,7.225
Germany,DEU,2010,6.575
Germany,DEU,2011,5.517
Germany,DEU,2012,5.083
Germany,DEU,2013,4.95
Germany,DEU,2014,4.708
Germany,DEU,2015,4.367
Germany,DEU,2016,3.908
Germany,DEU,2017,3.567
Germany,DEU,2018,3.208
Germany,DEU,2019,2.975
Germany,DEU,2020,3.625
Germany,DEU,2021,3.575
Germany,DEU,2022,3.067
Germany,DEU,2023,3.025
Germany,DEU,2024,3.408
