Entity,Code,Year,Unemployment rate - Percent of total labor force - Observations
Ireland,IRL,1991,19
Ireland,IRL,1992,16.3
Ireland,IRL,1993,16.7
Ireland,IRL,1994,15.1
Ireland,IRL,1995,14.1
Ireland,IRL,1996,11.8
Ireland,IRL,1997,9.858
Ireland,IRL,1998,7.55
Ireland,IRL,1999,5.917
Ireland,IRL,2000,4.383
Ireland,IRL,2001,4.183
Ireland,IRL,2002,4.733
Ireland,IRL,2003,4.85
Ireland,IRL,2004,4.75
Ireland,IRL,2005,4.633
Ireland,IRL,2006,4.767
Ireland,IRL,2007,5.008
Ireland,IRL,2008,6.8
Ireland,IRL,2009,12.65
Ireland,IRL,2010,14.608
Ireland,IRL,2011,15.4
Ireland,IRL,2012,15.492
Ireland,IRL,2013,13.775
Ireland,IRL,2014,11.892
Ireland,IRL,2015,9.925
Ireland,IRL,2016,8.375
Ireland,IRL,2017,6.758
Ireland,IRL,2018,5.808
Ireland,IRL,2019,4.992
Ireland,IRL,2020,5.842
Ireland,IRL,2021,6.258
Ireland,IRL,2022,4.467
Ireland,IRL,2023,4.308
Ireland,IRL,2024,4.3
