Entity,Code,Year,Unemployment rate - Percent of total labor force - Observations
Australia,AUS,1991,9.608
Australia,AUS,1992,10.742
Australia,AUS,1993,10.883
Australia,AUS,1994,9.717
Australia,AUS,1995,8.483
Australia,AUS,1996,8.525
Australia,AUS,1997,8.367
Australia,AUS,1998,7.692
Australia,AUS,1999,6.867
Australia,AUS,2000,6.292
Australia,AUS,2001,6.775
Australia,AUS,2002,6.358
Australia,AUS,2003,5.942
Australia,AUS,2004,5.383
Australia,AUS,2005,5.033
Australia,AUS,2006,4.792
Australia,AUS,2007,4.375
Australia,AUS,2008,4.25
Australia,AUS,2009,5.575
Australia,AUS,2010,5.208
Australia,AUS,2011,5.083
Australia,AUS,2012,5.233
Australia,AUS,2013,5.658
Australia,AUS,2014,6.058
Australia,AUS,2015,6.058
Australia,AUS,2016,5.717
Australia,AUS,2017,5.6
Australia,AUS,2018,5.283
Australia,AUS,2019,5.175
Australia,AUS,2020,6.475
Australia,AUS,2021,5.125
Australia,AUS,2022,3.708
Australia,AUS,2023,3.7
Australia,AUS,2024,4.025
