Entity,Code,Year,Unemployment rate - Percent of total labor force - Observations
Netherlands,NLD,1991,4.799
Netherlands,NLD,1992,4.865
Netherlands,NLD,1993,5.53
Netherlands,NLD,1994,6.193
Netherlands,NLD,1995,7.733
Netherlands,NLD,1996,7.099
Netherlands,NLD,1997,6.101
Netherlands,NLD,1998,4.93
Netherlands,NLD,1999,4.139
Netherlands,NLD,2000,3.66
Netherlands,NLD,2001,3.137
Netherlands,NLD,2002,3.665
Netherlands,NLD,2003,5.921
Netherlands,NLD,2004,6.773
Netherlands,NLD,2005,6.961
Netherlands,NLD,2006,6.079
Netherlands,NLD,2007,5.295
Netherlands,NLD,2008,4.77
Netherlands,NLD,2009,5.422
Netherlands,NLD,2010,6.082
Netherlands,NLD,2011,6.05
Netherlands,NLD,2012,6.823
Netherlands,NLD,2013,8.204
Netherlands,NLD,2014,8.338
Netherlands,NLD,2015,7.887
Netherlands,NLD,2016,7.005
Netherlands,NLD,2017,5.873
Netherlands,NLD,2018,4.881
Netherlands,NLD,2019,4.436
Netherlands,NLD,2020,4.851
Netherlands,NLD,2021,4.226
Netherlands,NLD,2022,3.537
Netherlands,NLD,2023,3.553
Netherlands,NLD,2024,3.659
